Title,Artist,Year,Rank,Lyrics
Don't You Wanna Stay,Jason Aldean,2011,68,"[Verse 1: Jason Aldean]I really hate to let this moment goTouchin' your skin, and your hair fallin' slowBut when a goodbye kiss, feels like this[Chorus: Jason Aldean & Kelly Clarkson]Don't you wanna stay here a little while?Don't you wanna hold each other tight?Don't you wanna fall asleep with me tonight?Don't you wanna stay here a little while?We can make forever feel this wayDon't you wanna stay?[Verse 2: Kelly Clarkson]Let's take it slow, I don't wanna move too fastI don't wanna just make love, I wanna make love lastWhen you're up this high, it's a sad goodbye[Chorus: Jason Aldean & Kelly Clarkson]Don't you wanna stay here a little while?Don't you wanna hold each other tight?Don't you wanna fall asleep with me tonight?Don't you wanna stay here a little while?We can make forever feel this wayDon't you wanna stay?"
We Found Love,Rihanna,2011,69,"[Video Intro: Agyness Deyn]It's like you're screaming, and no one can hearYou almost feel ashamed, that someone could be that importantThat without them, you feel like nothingNo one will ever understand how much it hurtsYou feel hopeless, like nothing can save youAnd when it's over and it's goneYou almost wish you could have all that bad stuff backSo that you could have the good[Verse 1: Rihanna]Yellow diamonds in the lightAnd we're standing side by sideAs your shadow crosses mineWhat it takes to come alive[Pre-Chorus: Rihanna]It's the way I'm feeling, I just can't denyBut I've gotta let it go[Chorus: Rihanna]We found love in a hopeless placeWe found love in a hopeless placeWe found love in a hopeless placeWe found love in a hopeless place"
Pretty Girl Rock,Keri Hilson,2011,70,"[Intro]Uh, uh, uh, uh, uh, ahUh, uh, uhI do the pretty girl rock, rock, rockDo the pretty girl rock, rock, rockNow what's your name?[Verse 1]My name is Keri, I'm so veryFly, oh my, it's a little bit scaryBoys wanna marry, looking at my derrièreYou can stare, but if you touch it, I'ma buryPretty as a picture (Hey)Sweeter than a swisher (Hey)Mad 'cause I'm cuter than the girl that's with ya (Hey)I ain't gotta talk about it, baby, you can see it (See it)But if you want, I'll be happy to repeat it[Verse 2]My name is Keri, I'm so very (Hey, hey)Fly, oh my, it's a little bit scary (Hey)Boys wanna marry, looking at my derrière (Hey, hey)You can stare but if you touch it I'mma buryPretty as a picture (Picture)Sweeter than a swisher (Swisher)Mad 'cause I'm cuter than the girl that's with yaI can talk about it 'cause I know that I'm prettyAnd if you know it too, then ladies sing it with me"
You and I,Lady Gaga,2011,71,"[Verse 1: Lady Gaga]It’s been a long time since I came aroundBeen a long time, but I’m back in townThis time I'm not leaving without youYou taste like whiskey when you kiss me, ohI'd give anything again to be your baby dollThis time I'm not leaving without you[Pre-Chorus: Lady Gaga]He said, ""Sit back down where you belongIn the corner of my bar with your high heels onSit back down on the couch where weMade love the first time and you said to me,""There’s...[Chorus: Lady Gaga & (Brian May)](Something), something about this place(Something), something, ‘bout lonely nightsAnd my lipstick on your faceSomething, something about my cool Nebraska guyYeah, there's something about, baby, you and I[Verse 2: Lady Gaga]It’s been two years since I let you goI couldn’t listen to a joke or a Rock and RollMuscle cars drove a truck right through my heartOn my birthday you sang me ""Heart of Gold""With a guitar humming and no clothesThis time I’m not leaving without you"
Like a G6,Far East Movement,2011,72,"[Chorus: Dev]Poppin bottles in the ice, like a blizzardWhen we drink we do it right, gettin' slizardSippin sizzurp in my ride, like Three 6Now I'm feelin' so fly like a G6Like a G6, like a G6Now I'm feelin' so fly like a G6Like a G6, like a G6Now I'm feelin' so fly like a G6[Verse 1: Cataracs]Gimme that MoetGimme that CristalLadies love my style, at my table gettin wildGet them bottles poppin', we get that drip and that dropNow give me two more bottles cuz you know it don't stop[Refrain: Cataracs]Hell yeah, drink it up, drink-drink it upWhen sober girls around me, they be actin' like they drunkThey be actin' like they drunk, actin'-actin' like they drunkWhen sober girls around me, they be actin' like they drunk[Chorus: Dev]Poppin bottles in the ice, like a blizzardWhen we drink we do it right, gettin' slizardSippin sizzurp in my ride, like Three 6Now I'm feelin' so fly like a G6Like a G6, like a G6Now I'm feelin' so fly like a G6Like a G6, like a G6Now I'm feelin' so fly like a G6"
Without You,David Guetta,2011,73,"[Verse 1: Usher]I can't win, I can't reignI will never win this gameWithout you, without youI am lost, I am vainI will never be the sameWithout you, without you[Pre-Chorus 1: Usher]I won't run, I won't flyI will never make it byWithout you, without youI can't rest, I can't fightAll I need is you and IWithout you, without you[Chorus: Usher]Oh-oh-ohYou, you, youWithout...You, you, youWithout... you[Verse 2: Usher]Can't erase, so I'll take blameBut I can't accept that we're estrangedWithout you, without youI can't quit now, this can't be rightI can't take one more sleepless nightWithout you, without you"
Back to December,Taylor Swift,2011,74,"[Verse 1]I'm so glad you made time to see meHow's life? Tell me, how's your family?I haven't seen them in a whileYou've been good, busier than everWe small talk, work and the weatherYour guard is up and I know why[Pre-Chorus]Because the last time you saw meIs still burned in the back of your mindYou gave me roses, and I left them there to die[Chorus]So this is me swallowing my prideStanding in front of you, saying I'm sorry for that nightAnd I go back to December all the timeIt turns out freedom ain't nothing but missing youWishing I'd realized what I had when you were mineI'd go back to December, turn around and make it alrightI go back to December all the time[Verse 2]These days, I haven't been sleepingStaying up, playing back myself leavingWhen your birthday passed and I didn't callAnd I think about summer, all the beautiful timesI watched you laughing from the passenger side andRealized I loved you in the fall"
Teenage Dream,Katy Perry,2011,75,"[Verse 1]You think I'm pretty without any makeup onYou think I'm funny when I tell the punch line wrongI know you get me, so I let my walls come down, downBefore you met me, I was alrightBut things were kinda heavy, you brought me to lifeNow every February, you'll be my Valentine, Valentine[Pre-Chorus]Let's go all the way tonightNo regrets, just loveWe can dance until we dieYou and I, we'll be young forever[Chorus]You make me feel like I'm livin' a teenage dreamThe way you turn me on, I can't sleepLet's run away and don't ever look backDon't ever look backMy heart stops when you look at meJust one touch, now, baby, I believeThis is real, so take a chance and don't ever look backDon't ever look back[Verse 2]We drove to Cali and got drunk on the beachGot a motel and built a fort out of sheetsI finally found you, my missing puzzle piece, I'm complete"
Crazy Girl,Eli Young Band,2011,76,"[Verse 1]Baby why you wanna cry?You really oughta know that IJust have to walk away sometimesWe’re gonna do what lovers doWe’re gonna have a fight or twoBut I ain’t ever changin’ my mind[Chorus]Crazy girl, don’t you know that I love you?And I wouldn’t dream of goin’ nowhereSilly woman, come here, let me hold youHave I told you lately?I love you like crazy, girl[Verse 2]Wouldn’t last a single dayI’d probably just fade awayWithout you, I’d lose my mindBefore you ever came alongI was livin’ life all wrongSmartest thing I ever did was make you all mine[Chorus]Crazy girl, don’t you know that I love you?And I wouldn’t dream of goin’ nowhereSilly woman, come here, let me hold youHave I told you lately?I love you like crazy, girlLike crazy, girl"
Cheers (Drink to That),Rihanna,2011,77,"[Intro: Robert Campbell](One, two) We takin' shots in here, you want one?(Yeah, yeah, yeah, yeah, yeah, yeah)(Yeah, yeah, yeah, yeah, yeah, yeah)[Chorus]Cheers to the freakin' weekendI drink to that, yeah, yeahOh, let the Jameson sink inI drink to that, yeah, yeahDon't let the bastards get you downTurn it around with another roundThere's a party at the barEverybody, put your glasses up and I drink to that(Yeah, yeah, yeah, yeah, yeah, yeah)(Yeah, yeah, yeah, yeah, yeah, yeah)I drink to that(Yeah, yeah, yeah, yeah, yeah, yeah)(Yeah, yeah, yeah, yeah, yeah, yeah)[Verse 1]Life's too short to be sitting 'round miserableAnd people gon' talk whether you doing bad or good, yeahGot a drink on my mind and my mind on my money, yeahLooking so bomb, gonna find me a honey"
Who Says,Selena Gomez & the Scene,2011,78,"[Intro]I wouldn't wanna be anybody elseHey[Verse 1]You made me insecureTold me I wasn't good enoughBut who are you to judgeWhen you're a diamond in the rough?I'm sure you got some thingsYou'd like to change about yourselfBut when it comes to meI wouldn't wanna be anybody else[Pre-Chorus]Na-na-na-na, na-na-na-na, na-na-na-na-naNa-na-na-na, na-na-na-na, na-na-na-na-naI'm no beauty queen, I'm just beautiful meNa-na-na-na, na-na-na-na, na-na-na-na-naNa-na-na-na, na-na-na-na, na-na-na-na-naYou've got every right to a beautiful lifeC'mon[Chorus]Who says?Who says you're not perfect?Who says you're not worth it?Who says you're the only one that's hurtin'?Trust me, that's the price of beautyWho says you're not pretty?Who says you're not beautiful?Who says?"
Barefoot Blue Jean Night,Jake Owen,2011,79,"[Verse 1]A full moon shining brightEdge of the water; we were feeling alrightBack down a country roadThe girls are always hot, and the beer is ice coldCadillac, horns on the hoodMy buddy Frankie had his dad hook him up goodGirls smile when we roll byThey hop in the back, and we cruise to the river side[Chorus]Never gonna grow upNever gonna slow downWe were shinin' like lighters in the darkIn the middle of a rock showWe were doin' it rightWe were comin' aliveYeah, caught up in a Southern summer, a barefoot, blue jean night[Verse 2]Blue eyes and auburn hairSittin' lookin' pretty by the fire in a lawn chairNew to town, and new to meHer ruby red lips was sippin' on sweet teaShot me in love like a shootin' starSo, I grabbed a beer and my ol' guitarThen we sat around till the break of dawnHowlin' and singin' our favorite song"
Knee Deep,Zac Brown Band,2011,80,"[Verse 1]Going to put the the world away for a minutePretend I don't live in itSunshine going to wash my blues awayHad sweet love but I lost itShe got too close so I fought itNow I'm lost in the world trying to find me a better way[Chorus]Wishing I was knee deep in the water somewhereGot the blue sky breeze and it don't seem fairOnly worry in the world is the tide going to reach my chairSunrise, there's a fire in the skyNever been so happyNever felt so highAnd I think I might have found me my own kind of paradise[Verse 2: Jimmy Buffett]Wrote a note said be back in a minuteBought a boat and I sailed off in itDon't think anybody's going to miss me anywayMind on a permanent vacationThe ocean is my only medicationWishing my condition ain't ever going to go away[Chorus]Now I'm knee deep in the water somewhereGot the blue sky breeze blowing wind through my hairOnly worry in the world is the tide going to reach my chairSunrise, there's a fire in the skyNever been so happyNever felt so highAnd I think I might have found me my own kind of paradise"
Country Girl (Shake It for Me),Luke Bryan,2011,81,"[Intro]Hey girl, go on nowYou know you've got everybody lookin'[Verse 1]Got a little boom in my big truckGonna open up the doors and turn it upGonna stomp my boots in the Georgia mudGonna watch you make me fall in loveGet up on the hood of my daddy's tractorUp on the toolbox, it don't matterDown on the tailgate, girl I can't waitTo watch you do your thing[Pre-Chorus]Shake it for the young bucks sittin' in the honky-tonksFor the rednecks rockin' 'til the break of dawnFor the DJ spinnin' that country songCome on, come on, come onShake it for the birds, shake it for the beesShake it for the catfish swimmin' down deep in the creekFor the crickets and the critters and the squirrelsShake it to the moon, shake it for me, girl, aww[Chorus]Country girl, shake it for me, girlShake it for me, girl, shake it for meCountry girl, shake it for me, girlShake it for me, girl, shake it for me"
Remind Me,Brad Paisley,2011,82,"We didn't care if people staredWe'd make out in a crowd somewhereSomebody'd tell us to get a roomIt's hard to believe that was me and youNow we keep saying that we're okayBut I don't want to settle for good, not greatI miss the way that it felt back thenI wanna feel that way againBeen so long, bet you forgetThe way I used to kiss your neckRemind me, remind meSo on fire, so in loveWay back when we couldn't get enoughRemind me, remind meRemember the airport, dropping me offWe were kissing goodbye and we couldn't stopAnd I felt bad 'cause you missed your flightBut that meant we had one more nightDo you remember how it used to be?We'd turn out the lights and we didn't just sleepRemind me, baby, remind me"
In the Dark,Dev,2011,83,"[Chorus]On my waist, through my hairThink about it when you touch me thereClose my eyes, here you areAll alone dancing in the darkTell me, baby, if it's wrongTo let my hands do what they wantLate at night, I pretend we areDance, dance, da-dance, dancing in the dark[Post-Chorus]Dancing in the darkOoh la la, ooh la la, ooh la laDancing in the dark[Verse 1]Can you work on me?Open my body up and do some surgeryNow that you got me up, I wanna taste it, taste itAnd see those pocket acesWanna see who you areGot a sex drive, just push to startGot a sex drive, just push to startPush, push, push, push to startPush, push, push, push to startI got a sex drive just push to start"
Backseat,New Boyz,2011,84,"[Intro: New Boyz]New Boyz[Hook: Cyrano & (Dev)]Don't say a word just turn around and let me seeGirl you got some'n special, some'n special for me?It's way too many suckers in the V.I.PValet got my car out front, tell me do you wanna kick itIn the backseat (I wanna get beside ya)In the backseat (So I can be your backseat driver)In the backseat (I wanna get beside ya)In the backseat (So I can be your backseat driver)[Verse 1: Ben J]You see them girls with them high heels they got this party poppinThis ain't no country club we 'bout to get this party rockinYou got girls that's with the band let's get on top and let me see it thoughWait not in here, we outta here, jump in my vehicleCamaro, long stick, she just tryin to fuck comfortablyShe like my orange Camaro, she said let's ride up and trick or treatLike damn girl, damn girl, you fucks'n with the man girlLike damn girl, damn girl, you fucks'n with the man girl[Hook: Cyrano & (Dev)]Don't say a word just turn around and let me seeGirl you got some'n special, some'n special for me?It's way too many suckers in the V.I.PValet got my car out front, tell me do you wanna kick itIn the backseat (I wanna get beside ya)In the backseat (So I can be your backseat driver)In the backseat (I wanna get beside ya)In the backseat (So I can be your backseat driver)"
Headlines,Drake,2011,85,"[Verse 1]I might be too strung out on complimentsOverdosed on confidenceStarted not to give a fuck and stopped fearin' the consequenceDrinkin' every night because we drink to my accomplishmentsFaded way too long, I'm floatin' in and out of consciousnessAnd they sayin' I'm back, I'd agree with thatI just take my time with all this shit, I still believe in thatI had someone tell me I fell off, ooh, I needed thatAnd they want to see me pick back up, well, where'd I leave it at?I know I exaggerated things, now I got it like thatTuck my napkin in my shirt 'cause I'm just mobbin' like thatYou know good and well that you don't want a problem like thatYou gon' make someone around me catch a body like thatNo, don't do it (Ayy), please don't do it (Ayy)'Cause one of us goes in and we all go through it (Ayy)And Drizzy got the money, so Drizzy gon' pay itThose my brothers, I ain't even gotta say itThat's just something they know[Chorus]They know, they know, they knowThey know, they know, they knowThey know, they know, they knowYeah, they know, yeahThat the real is on the riseFuck them other guysI even gave 'em a chance to decideNow it's something they knowThey know, they know, they know (Yeah)"
Best Thing I Never Had,Beyoncé,2011,86,"[Intro]What goes around comes back around (Hey, my baby!)What goes around comes back around (My, my, my baby!)I say, what goes around comes back around (Hey, my baby!)What goes around comes back around[Verse 1]There was a time I thoughtThat you did everything rightNo lies, no wrongBoy, I must've been out of my mind[Pre-Chorus]So when I think of the time that I almost loved youYou showed your ass and I, I saw the real youThank God you blew itI thank God I dodged the bulletI'm so over you, so baby, good looking out[Chorus]I wanted you bad, I'm so through with that'Cause honestly, you turned out to be the best thing I never hadYou turned out to be the best thing I never hadAnd I'm gon' always be the best thing you never hadI bet it sucks to be you right now"
Don't Wanna Go Home,Jason Derulo,2011,87,"[Intro]Jason Derulo[Verse 1]Check that out, what they playing? That's my song, that's my songWhere my drinks? I've been waiting much too long, much too longAnd this girl in my lap passing out, she's a blondeThe last thing on my mind is going home[Pre-Chorus]From the window to the wallThis club is jumping 'til tomorrowIs it daylight, or is it nighttime?One o'clock, two o'clock, three o'clock, fourWe gon' tear the club up, up, up, up, up, up, up[Chorus]Day-o, me say day-oDaylight come and we don't wanna go homeYeah, so we losing controlTurn the lights low 'cause we about to get blownLet the club shut down, we won't go, oh, oh, ohBurn it down, to the floor, oh, oh, ohDay-o, me say day-oDaylight come and we don't wanna go home"
Where Them Girls At,David Guetta,2011,88,"[Chorus: Flo Rida]So many girls in here, where do I begin? (Oh-oh)I seen this one, I'm bout to go in (Oh-oh)Then she said, ""I'm here with my friends"" (Oh-oh)She got me thinking, and that's when I said""Where them girls at, girls at?"" (Woo)""Where them girls at, girls at?"" (Woo)""Where them girls at, girls at?"" (Woo)So go get them, we can all be friends (Woo)[Verse 1: Flo Rida]Hey, bring it on, baby, all your friendsYou're the shit and I love that body, bodyYou wanna ball, let's mix it, I swear you're goodI won't tell nobody (Body)You got a BFF, I wanna see that girl, it's all women invited (Vited)Hair do's and nails, that Louis, Chanel all up in the partyPresidents in my wallet, no rules, I'm 'bout itBlow the whistle for the hottiesI got it, shawty, it's never too much, can't be doing too muchTen to one of me, I can handle that loveOutta of my reach, we can all get buzzHolla 'cause I'm free, no matter, it's no rush[Chorus: Nicki Minaj & Flo Rida & Both]So many boys in here, where do I begin? (Oh-oh)I see this one, I'm 'bout to go in (Oh-oh)Then he said, ""I'm here with my friends""He got to thinkin', and that's when he said""Where them girls at, girls at?"" (Girls at) (Woo)""Where them girls at, girls at?"" (Girls at) (Woo)""Where them girls at, girls at?"" (Girls at) (Woo)So go get them, we can all be friends (Woo)"
She Ain't You,Chris Brown,2011,89,"[Intro: Chris Brown]She a-ain't, she ain't youNo, she a-ain't, she ain't youNo, she a-ain't, she ain't youNo, she a-ain't, she ain't you[Verse 1: Chris Brown]You make it hard for me to see somebody elseI'm calling her your nameYeah, it's messed up 'cause I'm thinking 'bout youIt's your fault, babe, I never wanted us to break upNo, not this way, but you don't understand it, girl[Pre-Chorus: Chris Brown]When she touches me, I'm wishing that they were your handsAnd when I'm with her, it's only 'bout the sexWith you, I had a bad romanceAnd if I could just trade her in, I would'Cause nobody compares to you, no, yeah[Chorus: Chris Brown, Kevin McCall, Both]I think I better let her go (Go), 'cause I can't leave you alone (Oh)Every day that I'm with her, all I want is you (Yeah)I wanna leave but I'm afraid (Afraid), that you don't even feel the same (The same)And now I realize, that she ain't youNo, she ain't you"
Take a Back Road,Rodney Atkins,2011,90,"[Verse 1]Sit in that six-lane backed up trafficHorns are honking, I've about had itI'm looking for an exit signGotta get out of here, get it all off my mindAnd like a memory from your grandpa's atticA song comes slippin' through the radio staticChanging my moodA little George Strait 1982[Chorus]And it makes me wanna take a back roadMakes me wanna take the long way homePut a little gravel in my travelUnwind, unravel all night longMakes me wanna grab my honeyTear down some two-lane countryWho knowsGet lost and get right with my soulMakes me wanna takeMakes me wanna take a back road[Verse 2]I've been cooped up, tied down, 'bout forgottenWhat a field looks like, full of corn and cottonIf I'm gonna hit a traffic jamWell it better be a tractor manSo sick and tired of this interstate systemI need a curve and wind-a-twistin'Dusty path to nowhereWith the wind blowing through my baby's hair"
Please Don't Go,Mike Posner,2011,91,"[Verse 1]Let's run away from these liesBack to yesterday, safe tonight[Pre-Chorus]I feel the sun creepin' up like tick tockI'm tryna keep you in my head, but if notWe'll just keep runnin' from tomorrow with our lips lockedYeah, you got me beggin', beggin'[Chorus]Baby, please don't goIf I wake up tomorrow, will you still be here?I don't know if you feel the way I doIf you leave, I'm gon' find youBaby, please don't go, go, go, goBaby, please don't go, go, go, goBaby, please don't go, go, go, goBaby, please don't, baby, please don't[Verse 2]Baby, please don't run awayFrom my bed and start another dayStay instead[Pre-Chorus]I feel the sun creepin' up like tick tockI'm tryna keep you in my head, but if notWe'll just keep runnin' from tomorrow with our lips lockedYeah, you got me beggin', beggin'"
Sure Thing,Miguel,2011,92,"[Intro]Love You Like a brotherTreat you like a friendRespect you like a lover[Refrain]You could bet that, never gotta sweat thatYou could bet that, never gotta sweat thatYou could bet that, never gotta sweat thatYou could bet that, never gotta sweat that[Verse 1]If you be the cash, I'll be the rubber bandYou be the match, I will be a fuse, boom!Painter baby, you could be the museI'm the reporter, baby you could be the news'Cause you're the cigarette and I'm the smokerWe raise a bet 'cause you're the jokerChecked off, you are the chalk and I could be the blackboardAnd you can be the talk and I could be the walk[Chorus]Even when the sky comes fallingEven when the sun don't shineI got faith in you and ISo put your pretty little hand in mineEven when we're down to the wire babeEven when it's do or dieWe can do it baby simple and plain'Cause this love is a sure thing"
Price Tag,Jessie J,2011,93,"[Intro: Jessie J]Okay, Coconut Man, Moonhead and PeaYou ready?[Verse 1: Jessie J]Seems like everybody's got a priceI wonder how they sleep at nightWhen the sale comes first and the truth comes secondJust stop for a minute and smileWhy is everybody so serious?Acting so damn mysteriousGot shades on your eyesAnd your heels so high that you can't even have a good time[Pre-Chorus: Jessie J]Everybody look to their leftEverybody look to their rightCan you feel that? YeahWe're paying with love tonight[Chorus: Jessie J]It's not about the money, money, moneyWe don't need your money, money, moneyWe just wanna make the world danceForget about the price tagAin't about the, uh, cha-ching, cha-chingAin't about the, yeah, ba-bling, ba-blingWanna make the world danceForget about the price tag"
God Gave Me You,Blake Shelton,2011,94,"[Verse 1]I've been a walking heartacheI've made a mess of meThe person that I've been latelyAin’t who I want to beBut you stay here right beside meWatch as the storm blows throughAnd I need you[Chorus]'Cause God gave me you for the ups and downsGod gave me you for the days of doubtAnd for when I think I've lost my wayThere are no words here left to say, it's trueGod gave me youGave me you[Verse 2]There's more here than what we’re seeingA divine conspiracyThat you, an angel lovelyCould somehow fall for meYou'll always be love's great martyrAnd I'll be the flattered foolAnd I need youYeah!"
She Will,Lil Wayne,2011,95,"[Intro: Lil Wayne]Young Money!YeahFourAhem![Verse 1: Lil Wayne]I tell her, ""Now go and pop that pussy for a real nigga""I already know that life is deep, but I still dig herNiggas is jealous, but really I could care lessI'm in Hell's Kitchen with an apron and a hairnetDevil on my shoulder, the Lord as my witnessSo on my Libra scale I'm weighin' sins and forgivenessWhat goes around comes around like a hula hoopKarma is a bitch? Well, just make sure that bitch is beautifulLife on the edge, I'm danglin' my feetI tried to pay attention but attention paid meHaters can't see me: nose-bleed seatsAnd today I went shoppin' and talk is still cheapI rock to the beat of my drum setI been at the top for a while and I ain't jump yetBut I'm Ray Charles to the bullshitNow jump up on that dick and do a full split![Hook: Drake]Uh, she just started to pop it for a niggaAnd looked back and told me, ""Baby, it's real.""And I say, ""I ain't doubt you for a second.""I squeeze it and I could tell how it feelI wish we could take off and go anywhere but hereBaby, you know the dealAnd she bad, so maybe she won't, ughBut shit, then again, maybe she will, yeahDo it for the realest niggas in the fuckin' game right nowShe will, yeahDo it for the realest niggas in the fuckin' game right nowShe will, she will, she will, ughMaybe for the money and the power and the fame right nowShe will, she will, she will (Ugh)Do it for the realest niggas in the fuckin' game right nowShe will"
Are You Gonna Kiss Me or Not,Thompson Square,2011,96,"[Verse 1: Keifer]We were sitting up there on your momma's roofTalking 'bout everything under the moonWith the smell of honeysuckle and your perfumeAll I could think about was my next move[Verse 2: Keifer]Oh but you were so shy, so was IMaybe that's why it was so hard to believeWhen you smiled and said to me[Chorus: Keifer & Shawna]Are you gonna kiss me or not?Are we gonna do this or what?I think you know I like you a lotBut you're about to miss your shotAre you gonna kiss me or what?[Verse 3: Keifer]It was the best dang kiss that I ever hadExcept for that long one after thatAnd I knew if I wanted this thing to lastSooner or later I'd have to ask for your hand[Verse 4: Keifer]So I took a chanceBought a wedding band and I got down on one kneeAnd you smiled and said to me"
Animal,Neon Trees,2011,97,"[Verse 1]Here we go againI kinda wanna be more than friendsSo take it easy on meI'm afraid you're never satisfiedHere we go againWe're sick like animals, we play pretendYou're just a cannibalAnd I'm afraid I won't get out aliveNo, I won't sleep tonight[Chorus]Oh-oh, I want some moreOh-oh, what are you waiting for?Take a bite of my heart tonightOh-oh, I want some moreOh-oh, what are you waiting for?What are you waiting for?Say goodbye to my heart tonight[Verse 2]Here we are againI feel the chemicals kickin' inIt's getting heavy and I wanna run and hideI wanna run and hideI do it every timeYou're killin' me nowAnd I won't be denied by youThe animal inside of you"
You and Tequila,Kenny Chesney,2011,98,"[Verse 1]Baby, here I am againKicking dust in the canyon windWaiting for that sun to go downMade it up Mulholland DriveHell bent on getting highHigh above the lights of town[Chorus]Because you and tequila make me crazyRun like poison in my bloodOne more night could kill me, babyOne is one too many, one more is never enough[Verse 2]Thirty days and thirty nightsBeen putting up a real good fightThere were times I thought you'd winIt's so easy to forgetThe bitter taste the morning leftSwore I wouldn't go back there again[Chorus]You and tequila make me crazyRun like poison in my bloodOne more night could kill me, babyOne is one too many, one more is never enough"
Colder Weather,Zac Brown Band,2011,99,"[Verse 1]She'd trade Colorado if he'd take her with himCloses the door 'fore the winter lets the cold inAnd wonders if her love is strong enough to make him stayShe's answered by the taillights shinin' through the window pane[Chorus]He said, I want to see you againBut I'm stuck in colder weatherMaybe tomorrow will be betterCan I call you then?She said, you're ramblin' manAnd you ain't ever gonna changeYou've got a gypsy soul to blameAnd you were born for leavin'[Verse 2]At a truck stop diner, just outside of LincolnThe night is black as the coffee he was drinkin'And in the waitress' eyes he sees the same old light is shinin'He thinks of Colorado and the girl he left behind him[Chorus]He said, I want to see you againBut I'm stuck in colder weatherMaybe tomorrow will be betterCan I call you then?She said, you're ramblin' manAnd you ain't ever gonna changeYou've got a gypsy soul to blameAnd you were born for leavin'Born for leavin'"
My Last,Big Sean,2011,100,"[Produced by No I.D.][Intro: Chris Brown]Hands up in the airI just want the, I just want the baddest bitch in the worldRight here on my lap, huh[Chorus: Chris Brown, Big Sean & Both]And I'ma hit this drink up like it's my lastI'ma, I'ma hit this night up like it's my lastI'ma, I'ma hit this ass up like it's my last (Boi)I swear I'ma, swear (Boi) I'ma do it like (Do it)Like I never had it at a-a-a-all (Oh)A-a-a-all (Oh)Like I, like I never had it at a-a-a-all (Boi)Like I never had it all, a-a-a-all (Boi, hey, hey)[Verse 1: Big Sean]Okay, now where that alcohol? You ain't even got to ask (Ask)'Cause I'ma drink it all like, like it's my last (Okay)She a 7 in the face but a 10 in the assAnd she even look better by the end of my glass (Damn)See, I just walked in fresherThan the Certs off in this muhfucka (Look)I'ma need the baddest broad to twerk off in this muhfucka (Woah)I'ma go hard until it hurts off in this muhfucka (Go)I'm a boss, so you gotta work off in this muhfucka (In this muhfucka)And I can get you anythin' you want (Want)I could, I could, I could, I could put you on (On)See, you look like Beyoncé, so do it like Beyon do (Okay)And do it like Beyoncé, and put it on Sean (Haha)Grind hard, but I got a lot to show for it (Yeah)Always had drive, like I had to chauffeur it (Skrrt)My team's so true we should get a camera crew (What?)To follow us around and make a show for us"
Somebody That I Used to Know,Gotye,2012,1,"[Verse 1: Gotye]Now and then I think of when we were togetherLike when you said you felt so happy you could dieI told myself that you were right for meBut felt so lonely in your companyBut that was love, and it's an ache I still remember[Verse 2: Gotye]You can get addicted to a certain kind of sadnessLike resignation to the end, always the endSo when we found that we could not make senseWell, you said that we would still be friendsBut I'll admit that I was glad it was over[Chorus: Gotye]But you didn't have to cut me offMake out like it never happened and that we were nothingAnd I don't even need your loveBut you treat me like a stranger, and that feels so roughNo, you didn't have to stoop so lowHave your friends collect your records and then change your numberI guess that I don't need that thoughNow you're just somebody that I used to knowNow you're just somebody that I used to knowNow you're just somebody that I used to know"
Call Me Maybe,Carly Rae Jepsen,2012,2,"[Verse 1]I threw a wish in the wellDon't ask me, I'll never tellI looked to you as it fellAnd now you're in my wayI trade my soul for a wishPennies and dimes for a kissI wasn't looking for thisBut now you're in my way[Pre-Chorus]Your stare was holdingRipped jeans, skin was showin'Hot night, wind was blowin'Where you think you're going, baby?[Chorus]Hey, I just met you, and this is crazyBut here's my number, so call me maybeIt's hard to look right at you, babyBut here's my number, so call me maybeHey, I just met you, and this is crazyBut here's my number, so call me maybeAnd all the other boys try to chase meBut here's my number, so call me maybe"
We Are Young,Fun,2012,3,"[Verse 1: Nate Ruess]Give me a second I, I need to get my story straightMy friends are in the bathroomGetting higher than the Empire StateMy lover, she's waiting for me just across the barMy seat's been taken by some sunglasses asking 'bout a scarAnd I know I gave it to you months agoI know you're trying to forget itBut between the drinks and subtle thingsThe holes in my apologiesYou know, I'm trying hard to take it backSo if by the time the bar closesAnd you feel like falling downI'll carry you home[Chorus: Nate Ruess]TonightWe are youngSo let's set the world on fireWe can burn brighterThan the sunTonightWe are youngSo let's set the world on fireWe can burn brighterThan the sun"
Payphone,Maroon 5,2012,4,"[Chorus: Adam Levine]I'm at a payphone, trying to call homeAll of my change, I spent on youWhere have the times gone? Baby, it's all wrongWhere are the plans we made for two?[Verse 1: Adam Levine]Yeah, I, I know it's hard to rememberThe people we used to beIt's even harder to pictureThat you're not here next to meYou say it's too late to make itBut is it too late to try?And in our time that you wastedAll of our bridges burned down[Pre-Chorus: Adam Levine]I've wasted my nightsYou turned out the lightsNow I'm paralyzedStill stuck in that timeWhen we called it ""Love""But even the sunSets in paradise[Chorus: Adam Levine]I'm at a payphone, trying to call homeAll of my change I spent on youWhere have the times gone? Baby, it's all wrongWhere are the plans we made for two?"
